URLs Downloaded, size, # of outlinks found, content-type
https://www.cnn.com/2017/10/04/health/mental-illness-zack-mcdermott/index.html,1728888,203,text/html
https://www.cnn.com/videos/politics/2018/09/26/trump-un-speech-laughing-with-me-sot-tsr-vpx.cnn/video/playlists/top-news-videos/,1762625,102,text/html
https://www.cnn.com/profiles/jeremy-diamond,1625226,222,text/html
https://www.cnn.com/2017/11/03/health/who-is-the-boss-go-ask-your-dad/index.html,1593288,193,text/html
https://www.cnn.com/profiles/ashleigh-banfield-profile,1630783,218,text/html
https://www.cnn.com/travel/article/all-about-mooncakes/index.html,107716,46,text/html
https://www.cnn.com/2017/10/20/health/phthalates-banned-in-childrens-toys/index.html,1626601,231,text/html
https://www.cnn.com/profiles/brooke-baldwin-profile,1634792,223,text/html
https://www.cnn.com/2018/01/18/health/metoo-younger-girls/index.html,1732904,209,text/html
https://www.cnn.com/videos/world/2018/09/17/typhoon-mangkhut-aftermath-lon-orig.cnn,1869382,219,text/html
https://www.cnn.com/2017/10/23/health/children-autism-hospitals-partner/index.html,1739103,202,text/html
https://www.cnn.com/travel/article/chef-deb-paquette-nashville-tennessee/index.html,141087,55,text/html
https://www.cnn.com/2017/11/20/health/spit-test-concussion-children-study/index.html,1782854,222,text/html
https://www.cnn.com/videos/world/2018/09/28/air-niugini-plane-lands-short-of-runway-vpx.cnn/video/playlists/top-news-videos/,1806466,204,text/html
https://www.cnn.com/profiles/john-king-profile,1630548,224,text/html
https://www.cnn.com/profiles/stephen-collinson,1785824,395,text/html
https://www.cnn.com/videos/politics/2018/09/28/michelle-obama-politics-depressing-dad-story-sot-vpx.cnn/video/playlists/top-news-videos/,1762224,100,text/html
https://www.cnn.com/2018/08/30/australia/australia-catholic-church-response-intl/index.html,1843091,229,text/html
https://www.cnn.com/videos/us/2018/09/17/hurricane-florence-derek-van-dam-wxc-orig-llr-ms.cnn,1805015,202,text/html
https://www.cnn.com/profiles/don-lemon-profile,1631289,224,text/html
https://www.cnn.com/2018/09/25/entertainment/bill-cosby-analysis/index.html,1681714,84,text/html
https://www.cnn.com/2017/10/12/health/sesame-street-trauma/index.html,1596110,198,text/html
https://www.cnn.com/profiles/amanda-davies,1592731,199,text/html
https://www.cnn.com/2017/11/01/health/zikas-forgotten-women-mothers-babies/index.html,1602347,190,text/html
https://www.cnn.com/2017/11/14/health/kentucky-last-abortion-clinic/index.html,1631454,202,text/html
https://www.cnn.com/2018/09/23/asia/abhilash-tomy-golden-globe-race/index.html,1722447,206,text/html
https://www.cnn.com/profiles/sara-ganim-profile,1590611,198,text/html
https://www.cnn.com/2017/11/21/health/self-inflicted-injury-cdc-study/index.html,1727378,203,text/html
https://www.cnn.com/2018/09/21/entertainment/rihanna-ambassador-barbados/index.html,1663640,83,text/html
https://www.cnn.com/2018/02/28/health/girls-perfection-depression-anxiety/index.html,1737215,208,text/html
https://www.cnn.com/profiles/lisa-ling-profile,1631974,222,text/html
https://www.cnn.com/profiles/veronica-stracqualursi,1587912,197,text/html
https://www.cnn.com/2018/09/20/australia/australia-shark-attacks-intl/index.html,1714794,189,text/html
https://www.cnn.com/2017/11/10/health/screen-decisions-go-ask-your-dad/index.html,1597374,203,text/html
https://www.cnn.com/2017/11/29/health/sexual-harassment-talk-to-kids/index.html,1725371,206,text/html
https://www.cnn.com/2018/09/20/us/plastic-straws-banned-in-california/index.html,1708377,191,text/html
https://www.cnn.com/2018/09/21/entertainment/jane-fonda-in-five-acts-review/index.html,1665019,81,text/html
https://www.cnn.com/2018/09/24/entertainment/carrie-underwood-chart-history/index.html,1663055,82,text/html
https://www.cnn.com/2018/09/21/entertainment/sanaa-lathan-nappily/index.html,1552183,83,text/html
https://www.cnn.com/profiles/hala-gorani-profile,1636604,226,text/html
